num,titulo,autor,isbn,condicion,tipo,descripcion,cover_openlibrary,cover_google,year,pages,categoria
1,La Hermana,Sándor Márai,9788498380897,buen_estado,venta,La Hermana de Sándor Márai. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/7314516-L.jpg,https://books.google.com/books/content?vid=isbn:9788498380897&printsec=frontcover&img=1&zoom=1,2007,253,literatura
2,Ripley Bogle,Robert Wilson McLiam,9780330313841,buen_estado,venta,Ripley Bogle de Robert Wilson McLiam. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/787635-L.jpg,https://books.google.com/books/content?vid=isbn:9780330313841&printsec=frontcover&img=1&zoom=1,1989,273,literatura
3,Libertad,Jonathan Franzen,9788498383973,buen_estado,venta,Libertad de Jonathan Franzen. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/7313793-L.jpg,https://books.google.com/books/content?vid=isbn:9788498383973&printsec=frontcover&img=1&zoom=1,2011,672,literatura
4,La Transparencia Del Tiempo,Leonardo Padura,9788490664797,buen_estado,venta,La Transparencia Del Tiempo de Leonardo Padura. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/8132109-L.jpg,https://books.google.com/books/content?vid=isbn:9788490664797&printsec=frontcover&img=1&zoom=1,2018,,literatura
5,El Arado De Oro,James Buchan,9780140258271,buen_estado,venta,El Arado De Oro de James Buchan. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/isbn/9780140258271-L.jpg,https://books.google.com/books/content?vid=isbn:9780140258271&printsec=frontcover&img=1&zoom=1,,,literatura
6,La Presidencia Imperial,Enrique Krauze,9788483100424,buen_estado,venta,La Presidencia Imperial de Enrique Krauze. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/5344574-L.jpg,https://books.google.com/books/content?vid=isbn:9788483100424&printsec=frontcover&img=1&zoom=1,1997,530,literatura
7,El Urogallo,Michel Tournier,9789870401544,buen_estado,venta,El Urogallo de Michel Tournier. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/isbn/9789870401544-L.jpg,https://books.google.com/books/content?vid=isbn:9789870401544&printsec=frontcover&img=1&zoom=1,2006,,literatura
8,"Diana, O La Cazadora Solitaria",Carlos Fuentes,9789681902162,buen_estado,venta,"Diana, O La Cazadora Solitaria de Carlos Fuentes. Libro fisico usado en buen estado.",https://covers.openlibrary.org/b/id/3826128-L.jpg,https://books.google.com/books/content?vid=isbn:9789681902162&printsec=frontcover&img=1&zoom=1,1994,224,literatura
9,Cuentos Reciclados,Álvaro Pombo,9788433910622,buen_estado,venta,Cuentos Reciclados de Álvaro Pombo. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/3746791-L.jpg,https://books.google.com/books/content?vid=isbn:9788433910622&printsec=frontcover&img=1&zoom=1,1997,170,literatura
10,La Cuarentena,J.M.G. Le Clézio,9788483100714,buen_estado,venta,La Cuarentena de J.M.G. Le Clézio. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/10952849-L.jpg,https://books.google.com/books/content?vid=isbn:9788483100714&printsec=frontcover&img=1&zoom=1,1998,254,literatura
11,Literati,,9780674536180,buen_estado,venta,Literati de . Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/9639321-L.jpg,https://books.google.com/books/content?vid=isbn:9780674536180&printsec=frontcover&img=1&zoom=1,1959,238,literatura
12,El Enigma Sagrado,Michael Baigent,9789508700889,buen_estado,venta,El Enigma Sagrado de Michael Baigent. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/5239335-L.jpg,https://books.google.com/books/content?vid=isbn:9789508700889&printsec=frontcover&img=1&zoom=1,2004,,literatura
13,El Secreto De Christine,Benjamin Black,9788466321365,buen_estado,venta,El Secreto De Christine de Benjamin Black. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/8020262-L.jpg,https://books.google.com/books/content?vid=isbn:9788466321365&printsec=frontcover&img=1&zoom=1,2008,447,literatura
14,Los Idus De Marzo,Valerio Massimo Manfredi,9788425343520,buen_estado,venta,Los Idus De Marzo de Valerio Massimo Manfredi. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/8435969-L.jpg,https://books.google.com/books/content?vid=isbn:9788425343520&printsec=frontcover&img=1&zoom=1,2009,302,literatura
15,Rapsodia Gourmet,Muriel Barbery,9788432228636,buen_estado,venta,Rapsodia Gourmet de Muriel Barbery. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/7395594-L.jpg,https://books.google.com/books/content?vid=isbn:9788432228636&printsec=frontcover&img=1&zoom=1,2011,,literatura
16,Antigua Luz,John Banville,9786071121202,buen_estado,venta,Antigua Luz de John Banville. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/7259653-L.jpg,https://books.google.com/books/content?vid=isbn:9786071121202&printsec=frontcover&img=1&zoom=1,2012,304,literatura
