titulo,autor,isbn,precio,condicion,tipo,categoria,editorial,año,fotos
Romper el círculo,Colleen Hoover,,15000,buen_estado,venta,Novela romántica,,,
Volver a empezar,Colleen Hoover,,15000,buen_estado,venta,Novela romántica,,,
Yo antes de ti,Jojo Moyes,,9000,buen_estado,venta,Novela romántica,,,
Después de ti,Jojo Moyes,,9000,buen_estado,venta,Novela romántica,,,
Sigo siendo yo,Jojo Moyes,,10000,buen_estado,venta,Novela romántica,,,
La última carta de amor,Jojo Moyes,,13000,buen_estado,venta,Novela romántica,,,
Te regalaré las estrellas,Jojo Moyes,,11000,buen_estado,venta,Novela romántica,,,
La chica que dejaste atrás,Jojo Moyes,,14000,buen_estado,venta,Novela romántica,,,
La hipótesis del amor,Ali Hazelwood,,15000,buen_estado,venta,Novela romántica,,,
Una corte de rosas y espinas,Sarah J. Maas,,12000,buen_estado,venta,Fantasía,,,
Una corte de niebla y furia,Sarah J. Maas,,12000,buen_estado,venta,Fantasía,,,
Una corte de alas y ruina,Sarah J. Maas,,13000,buen_estado,venta,Fantasía,,,
Una corte de hielo y estrellas,Sarah J. Maas,,10000,buen_estado,venta,Fantasía,,,
Una corte de llamas plateadas,Sarah J. Maas,,15000,buen_estado,venta,Fantasía,,,
H de Harry,Darlis Stefany,,10000,buen_estado,venta,Novela romántica,,,
El deseo prohibido de Doug,Darlis Stefany,,10000,buen_estado,venta,Novela romántica,,,
Cultivando a Ashton,Darlis Stefany,,9000,buen_estado,venta,Novela romántica,,,
Los miedos de Ethan,Darlis Stefany,,10000,buen_estado,venta,Novela romántica,,,
Conquistando a Jeremy,Darlis Stefany,,9000,buen_estado,venta,Novela romántica,,,
Censurado,Darlis Stefany,,10000,buen_estado,venta,Novela romántica,,,
Clover 1 ¿Eres el trébol de este irlandés?,Darlis Stefany,,9000,buen_estado,venta,Novela romántica,,,
+18,Darlis Stefany,,8000,buen_estado,venta,Novela romántica,,,
+21,Darlis Stefany,,8000,buen_estado,venta,Novela romántica,,,
A través de mi ventana,Ariana Godoy,,8000,buen_estado,venta,Novela romántica,,,
A través de ti,Ariana Godoy,,8000,buen_estado,venta,Novela romántica,,,
A través de la lluvia,Ariana Godoy,,10000,buen_estado,venta,Novela romántica,,,
Sigue mi voz,Ariana Godoy,,9000,buen_estado,venta,Novela romántica,,,
Solo nosotros dos,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Cada suspiro,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
El regreso,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Noches de tormenta,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
El sendero del amor,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Tal como somos,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Un lugar donde refugiarse,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
A primera vista,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
En nombre del amor,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
El viaje más largo,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Mensaje en una botella,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Querido John,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Fantasmas del pasado,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Lo mejor de mí,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Diario de una pasión,Nicholas Sparks,,8000,buen_estado,venta,Novela romántica,,,
Al final muere el primero,Adam Silvera,,9000,buen_estado,venta,Juvenil,,,
Todo este tiempo,Rachael Lippincott,,9000,buen_estado,venta,Juvenil,,,
La lista de la suerte,Rachael Lippincott,,9000,buen_estado,venta,Juvenil,,,
A dos metros de ti,Rachael Lippincott,,10000,buen_estado,venta,Juvenil,,,
Violet y Finch,Jennifer Niven,,9000,buen_estado,venta,Juvenil,,,
Mil besos tuyos,Tillie Cole,,10000,buen_estado,venta,Novela romántica,,,
Un beso bajo la lluvia,Violeta Boyd,,9000,buen_estado,venta,Novela romántica,,,
Malibú renace,Taylor Jenkins Reid,,12000,buen_estado,venta,Novela romántica,,,
La gravedad que nos atrae,Brittainy C. Cherry,,9000,buen_estado,venta,Novela romántica,,,
El aire que respira,Brittainy C. Cherry,,9000,buen_estado,venta,Novela romántica,,,
Boulevard,Flor M. Salvador,,12000,buen_estado,venta,Novela romántica,,,
Boulevard Libro 1,Flor M. Salvador,,12000,buen_estado,venta,Novela romántica,,,
Hija de humo y hueso,Laini Taylor,,12000,buen_estado,venta,Fantasía,,,
Días de sangre y resplandor,Laini Taylor,,12000,buen_estado,venta,Fantasía,,,
Sueños de dioses y monstruos,Laini Taylor,,12000,buen_estado,venta,Fantasía,,,
La sombra del zorro,Julie Kagawa,,12000,buen_estado,venta,Fantasía,,,
El alma de la espada,Julie Kagawa,,12000,buen_estado,venta,Fantasía,,,
La noche del dragón,Julie Kagawa,,12000,buen_estado,venta,Fantasía,,,
La bailarina de Auschwitz,Edith Eger,,13000,buen_estado,venta,Novela histórica,,,
El largo camino a casa,Alan Hlad,,10000,buen_estado,venta,Novela histórica,,,
Desviación,Luce d'Eramo,,10000,buen_estado,venta,Novela histórica,,,
La bibliotecaria de Auschwitz,Antonio Iturbe,,12000,buen_estado,venta,Novela histórica,,,
El viaje de Cilka,Heather Morris,,11000,buen_estado,venta,Novela histórica,,,
La catadora de Hitler,V. S. Alexander,,11000,buen_estado,venta,Novela histórica,,,
El chico que siguió a su padre hasta Auschwitz,Jeremy Dronfield,,11000,buen_estado,venta,Novela histórica,,,
Esa vida que imaginamos,Florencia Eluchans,,10000,buen_estado,venta,Novela histórica,,,
El tatuador de Auschwitz,Heather Morris,,12000,buen_estado,venta,Novela histórica,,,
La chica que escapó de Auschwitz,Ellie Midwood,,11000,buen_estado,venta,Novela histórica,,,
