titulo,autor,precio_liquidacion,precio_normal,estado,categoria,isbn,editorial,ano,coleccionable,url
,,40000,80000,good,,,,,,https://tuslibros.cl/libro/vero/la-araucana-primera-y-segunda-partes-tomos-i-ii
,,39500,79000,good,,,,,,https://tuslibros.cl/libro/vero/oeuvres-completes-1866-pascal
,,25000,50000,fair,,,,,sí,https://tuslibros.cl/libro/vero/las-vidas-paralelas-de-plutarco-tomo-i
,,25000,50000,good,,,,,,https://tuslibros.cl/libro/vero/los-hechizados
,,25000,50000,fair,,,,,,https://tuslibros.cl/libro/vero/las-vidas-paralelas-de-plutarco-tomo-ii
,,22500,45000,good,,,,,,https://tuslibros.cl/libro/vero/conversacion-en-la-catedral
,,22500,45000,good,,,,,sí,https://tuslibros.cl/libro/vero/bartleby-el-escribiente-biblioteca-de-babel
,,20000,40000,good,,,,,sí,https://tuslibros.cl/libro/vero/el-cardenal-napellus-biblioteca-de-babel
,,20000,40000,new,,,,,sí,https://tuslibros.cl/libro/vero/la-puerta-en-el-muro-biblioteca-de-babel
,,16490,32990,good,,,,,sí,https://tuslibros.cl/libro/vero/elogio-de-la-sombra
,,16490,32990,good,,,,,sí,https://tuslibros.cl/libro/vero/opus-nigrum
,,14990,30000,new,,,,,,https://tuslibros.cl/libro/vero/camino-al-futuro
,,14900,29900,good,,,,,,https://tuslibros.cl/libro/vero/carpe-diem
,,13990,28000,new,,,,,,https://tuslibros.cl/libro/vero/ojo-del-espiritu-el
,,12500,25000,good,,,,,sí,https://tuslibros.cl/libro/vero/obras-escogidas-de-seneca-tomo-ii
,,12500,25000,good,,,,,sí,https://tuslibros.cl/libro/vero/obras-escogidas-de-seneca-tomo-i
,,12500,25000,good,,,,,,https://tuslibros.cl/libro/vero/homo-faber
,,12500,25000,good,,,,,,https://tuslibros.cl/libro/vero/breve-historia-de-todas-las-cosas
,,12500,25000,good,,,,,,https://tuslibros.cl/libro/vero/la-historia-de-los-paises-del-este
,,12500,25000,poor,,,,,,https://tuslibros.cl/libro/vero/ibanez-el-hombre
,,12000,24000,good,,,,,,https://tuslibros.cl/libro/vero/la-sabidura-de-los-idiotas
,,12000,24000,good,,,,,,https://tuslibros.cl/libro/vero/gargantua-y-pentragruem
,,11700,23490,good,,,,,,https://tuslibros.cl/libro/vero/gargantua-y-pentagruel
,,11000,22000,good,,,,,,https://tuslibros.cl/libro/vero/manana-en-la-batalla-piensa-en-mi
,,10990,22000,good,,,,,sí,https://tuslibros.cl/libro/vero/antologia-poetica
,,10000,20000,new,,,,,,https://tuslibros.cl/libro/vero/evangelio-del-buda-el
,,10000,20000,new,,,,,,https://tuslibros.cl/libro/vero/excesos
,,10000,20000,good,,,,,sí,https://tuslibros.cl/libro/vero/paideia-los-ideales-de-la-cultura-griega
,,10000,20000,new,,,,,,https://tuslibros.cl/libro/vero/h2o-una-biografa-del-agua
,,9990,25000,good,,,,,,https://tuslibros.cl/libro/vero/vidas-para-leerlas
,,8990,18000,fair,,,,,,https://tuslibros.cl/libro/vero/la-montana-magica
,,8500,17000,good,,,,,,https://tuslibros.cl/libro/vero/despues-del-eden
,,7990,19000,fair,,,,,sí,https://tuslibros.cl/libro/vero/20-poemas-de-amor-y-una-cancion-desesperada
,,7500,15000,good,,,,,,https://tuslibros.cl/libro/vero/la-vida-esta-en-otra-parte
,,7500,15000,good,,,,,,https://tuslibros.cl/libro/vero/conversacion-en-la-catedral-vol-1
,,7500,15000,new,,,,,sí,https://tuslibros.cl/libro/vero/el-urogallo-zfi4
,,7500,15000,good,,,,,,https://tuslibros.cl/libro/vero/animales-literarios-de-chile-gb2k
,,7500,15000,fair,,,,,,https://tuslibros.cl/libro/vero/el-principe-y-las-ovejas
,,7500,15000,new,,,,,,https://tuslibros.cl/libro/vero/el-faro
,,7500,15000,good,,,,,,https://tuslibros.cl/libro/vero/cuestiones-cuanticas
,,7500,14990,good,,,,,sí,https://tuslibros.cl/libro/vero/animales-literarios-de-chile
,,7300,14560,good,,,,,,https://tuslibros.cl/libro/vero/no-soy-stiller-sn0j
,,7000,13990,new,,,,,,https://tuslibros.cl/libro/vero/ordenes-sagradas
,,7000,14000,fair,,,,,sí,https://tuslibros.cl/libro/vero/lenguaje-y-realidad
,,7000,14000,good,,,,,,https://tuslibros.cl/libro/vero/ayer
,,6500,13000,fair,,,,,,https://tuslibros.cl/libro/vero/los-tres-ojos-del-conocimiento
